Text	Label
This software is super cool	1
I am really happy with this	1
The food was terrible	0
This is the best app ever	1
I hate this so much	0
The service was amazing and fast	1
My experience was bad	0
This product is garbage	0
Super fast and reliable	1
What a cool feature	1
It is just okay not great	0
Absolutely wonderful experience	1
The quality is poor	0
I really dislike this tool	0
Great job on this update	1
Terrible customer support	0
This is a waste of time	0
I love the new design	1
The performance is super slow	0
This is awesome stuff	1
Does not work as expected	0
Highly recommended for everyone	1
